# ut, nt, rtc_temp, A0, voltage
1455065987,2016-02-10 00:59:47,20.75,343,515
1455065995,2016-02-10 00:59:55,20.75,343,515
1455066003,2016-02-10 01:00:03,20.75,368,516
1455066011,2016-02-10 01:00:11,20.75,369,516
1455066019,2016-02-10 01:00:19,20.75,359,515
1455066027,2016-02-10 01:00:27,20.75,348,515
1455066035,2016-02-10 01:00:35,20.75,331,516
1455066043,2016-02-10 01:00:43,20.75,359,515
1455066051,2016-02-10 01:00:51,20.75,346,516
1455066060,2016-02-10 01:01:00,20.75,339,515
1455066068,2016-02-10 01:01:08,20.75,357,516
1455066076,2016-02-10 01:01:16,20.75,413,515
1455066084,2016-02-10 01:01:24,20.75,337,515
1455066092,2016-02-10 01:01:32,20.75,369,516
1455066100,2016-02-10 01:01:40,20.75,365,515
1455066108,2016-02-10 01:01:48,20.75,354,515
1455066116,2016-02-10 01:01:56,20.75,373,515
1455066124,2016-02-10 01:02:04,20.75,366,514
1455066132,2016-02-10 01:02:12,20.75,362,516
1455066140,2016-02-10 01:02:20,20.75,351,515
1455066148,2016-02-10 01:02:28,20.75,370,516
1455066156,2016-02-10 01:02:36,20.75,364,515
1455066164,2016-02-10 01:02:44,20.75,360,516
1455066173,2016-02-10 01:02:53,20.75,345,515
1455066181,2016-02-10 01:03:01,20.75,343,515
1455066189,2016-02-10 01:03:09,20.75,367,516
1455066197,2016-02-10 01:03:17,20.75,360,515
1455066205,2016-02-10 01:03:25,20.75,350,515
1455066213,2016-02-10 01:03:33,20.75,339,515
1455066221,2016-02-10 01:03:41,20.75,363,515
1455066229,2016-02-10 01:03:49,20.75,350,515
1455066237,2016-02-10 01:03:57,20.75,340,516
1455066245,2016-02-10 01:04:05,20.75,358,515
1455066253,2016-02-10 01:04:13,20.75,361,516
1455066261,2016-02-10 01:04:21,20.75,357,516
1455066269,2016-02-10 01:04:29,20.75,338,516
1455066277,2016-02-10 01:04:37,20.75,349,515
1455066286,2016-02-10 01:04:46,20.75,369,516
1455066294,2016-02-10 01:04:54,20.75,359,515
1455066302,2016-02-10 01:05:02,20.75,357,517
1455066310,2016-02-10 01:05:10,20.75,353,515
1455066318,2016-02-10 01:05:18,20.75,345,515
1455066326,2016-02-10 01:05:26,20.75,360,515
1455066334,2016-02-10 01:05:34,20.75,347,515
1455066342,2016-02-10 01:05:42,20.75,339,515
1455066350,2016-02-10 01:05:50,20.75,345,515
1455066358,2016-02-10 01:05:58,20.75,367,516
1455066366,2016-02-10 01:06:06,20.75,359,515
1455066374,2016-02-10 01:06:14,20.75,351,515
1455066382,2016-02-10 01:06:22,20.75,356,516
1455066391,2016-02-10 01:06:31,20.75,339,515
1455066399,2016-02-10 01:06:39,20.75,363,516
1455066407,2016-02-10 01:06:47,20.75,358,515
1455066415,2016-02-10 01:06:55,20.75,339,516
1455066423,2016-02-10 01:07:03,20.75,347,515
1455066431,2016-02-10 01:07:11,20.75,366,516
1455066439,2016-02-10 01:07:19,20.75,358,515
1455066447,2016-02-10 01:07:27,20.75,346,517
1455066455,2016-02-10 01:07:35,20.75,339,516
1455066463,2016-02-10 01:07:43,20.75,367,515
1455066471,2016-02-10 01:07:51,20.75,359,515
1455066479,2016-02-10 01:07:59,20.75,339,515
1455066487,2016-02-10 01:08:07,20.75,350,516
1455066495,2016-02-10 01:08:15,20.75,359,516
1455066504,2016-02-10 01:08:24,20.75,357,516
1455066512,2016-02-10 01:08:32,20.75,337,515
1455066520,2016-02-10 01:08:40,20.75,365,515
1455066528,2016-02-10 01:08:48,20.75,358,515
1455066536,2016-02-10 01:08:56,20.75,339,516
1455066544,2016-02-10 01:09:04,20.75,361,516
1455066552,2016-02-10 01:09:12,20.75,348,515
1455066560,2016-02-10 01:09:20,20.75,345,515
1455066568,2016-02-10 01:09:28,20.75,361,515
1455066576,2016-02-10 01:09:36,20.75,346,516
1455066584,2016-02-10 01:09:44,20.75,345,516
1455066592,2016-02-10 01:09:52,20.75,360,516
1455066600,2016-02-10 01:10:00,20.75,345,515
1455066608,2016-02-10 01:10:08,20.75,362,515
1455066617,2016-02-10 01:10:17,20.75,345,516
1455066625,2016-02-10 01:10:25,20.75,347,515
1455066633,2016-02-10 01:10:33,20.75,355,515
1455066641,2016-02-10 01:10:41,20.75,339,515
1455066649,2016-02-10 01:10:49,20.75,341,515
1455066657,2016-02-10 01:10:57,20.75,356,515
1455066665,2016-02-10 01:11:05,20.75,336,515
1455066673,2016-02-10 01:11:13,20.75,357,515
1455066681,2016-02-10 01:11:21,20.75,337,516
1455066689,2016-02-10 01:11:29,20.75,359,515
1455066697,2016-02-10 01:11:37,20.75,335,515
1455066705,2016-02-10 01:11:45,20.75,358,515
1455066713,2016-02-10 01:11:53,20.75,349,515
1455066721,2016-02-10 01:12:01,20.75,344,516
1455066730,2016-02-10 01:12:10,20.75,358,516
1455066738,2016-02-10 01:12:18,20.75,336,516
1455066746,2016-02-10 01:12:26,20.75,359,516
1455066754,2016-02-10 01:12:34,20.75,337,516
1455066762,2016-02-10 01:12:42,20.75,357,515
